OBJECTID,DISTRICT,NAME,Shape__Are,Shape__Len
1,4,Keith Sutton,0.010806794476497,0.647441999799511
2,5,Jim Martin,0.016310752866919,0.783310848828678
3,1,Donald Agee,0.051422848738689,1.20995893976662
4,6,Christine Kushner,0.010183977879228,0.768016147457649
5,7,Kathy Hartenstine,0.017641651684172,0.868596198343827
6,3,Roxie Cash,0.029967023143748,0.886238861482946
7,8,Lindsay Mahaffey,0.035245871138402,1.10856450993881
8,9,Bill Fletcher,0.011081956766432,0.676085463453828
9,2,Monika Johnson-Hostler,0.038602194907709,1.23692515053476
